Filing Date,Department or Agency,Regulation Title,Hearing/Report Date,Became Law,Available Documents
6/9/2023,DEPARTMENT OF PUBLIC HEALTH,AMENDMENTS TO REGULATIONS GOVERNING THE CONTROL OF COMMUNICABLE AND NONCOMMUNICABLE DISEASES AND CONDITIONS REGARDING MONKEYPOX AND PEDIATRIC MULTISYSTEM INFLAMMATORY SYNDROME,N,Y,"https://regulations.phila-records.com/pdfs/Amendment to Reporting Regulations_Monkeypox and MIS_Final.pdf, https://regulations.phila-records.com/pdfs/Memo to Records Dept_Amendment to Reporting Regs_Mpox and MIS.pdf, https://regulations.phila-records.com/pdfs/Signed cover memo_Mpox and MIS reporting_6.9.2023.pdf"
6/7/2023,DEPARTMENT OF LABOR,"REGULATIONS REGARDING PRACTICE AND PROCEDURE FOR THE ENFORCEMENT OF CHAPTERS 9-4100, 9-4300, 9-4500, 9-4600, 9-4700, 9-5000, 9-5600, AND 9-3303(1)(d) OF THE PHILADELPHIA CODE",N,Y,https://regulations.phila-records.com/pdfs/Department of Labor Office Regulations 6 7 2023.pdf
5/19/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 27.01284 LIFE INSURANCE PLAN,N,Y,"https://regulations.phila-records.com/pdfs/23-04_Law Memo_FW signature.pdf, https://regulations.phila-records.com/pdfs/27.01284-23-05.pdf"
5/19/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 21.0315 HOURLY MEDICAL PERSONNEL REPRESENTED BY DISTRICT COUNCIL 47,N,Y,"https://regulations.phila-records.com/pdfs/21.0315-23-04.pdf, https://regulations.phila-records.com/pdfs/23-04_Law Memo FW signature.pdf"
5/19/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 6.086 APPOINTMENT RATE FOR EMPLOYEES HIRED FROM OPEN COMPETITIVE ELIGIBLE LISTS FOR THE FOLLOWING CLASSES AND DEPARTMENTS,N,Y,"https://regulations.phila-records.com/pdfs/6.086-23-4.pdf, https://regulations.phila-records.com/pdfs/23-04 Law Memo -FW signature.pdf"
5/19/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 5.158 CLASSES ELIGIBLE FOR IN-POSITION PROMOTION,N,Y,"https://regulations.phila-records.com/pdfs/5.158-23-4.pdf, https://regulations.phila-records.com/pdfs/23-04 Law Memo_FW signature.pdf"
4/27/2023,OFFICE OF THE MAYOR,"RECISSION OF MARCH 11, 2020, DECLARATION OF EXTRAORDINARY CIRCUMSTANCE: SUSPENDING THE FORMAL REGULATORY PROCESS FOR REGULATIONS CONCERNING A NOVEL CORONAVIRUS",N,Y,https://regulations.phila-records.com/pdfs/Rescind Declaration of Extraordinary Circumstance.pdf
4/14/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 31.62 HIRING BONUS PILOT FOR LIFEGUARD FOR 2023 SEASON,N,Y,"https://regulations.phila-records.com/pdfs/23-03 Law Memo UPDATED-signed.pdf, https://regulations.phila-records.com/pdfs/31.62-23-03.pdf"
4/14/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 9.0670 ADDITIONAL CREDITS ON OPEN COMPETITIVE EXAMINATIONS FOR CANDIDATES WHO HAVE GRADUATED FROM A CAREER TECHNICAL EDUCATION PROGRAM OF THE SCHOOL DISTRICT OF PHILADELPHIA,N,Y,"https://regulations.phila-records.com/pdfs/9.0670-23-03.pdf, https://regulations.phila-records.com/pdfs/23-03 Law Memo UPDATED_signed.pdf"
3/22/2023,OFFICE OF THE MANAGING DIRECTOR,MANAGING DIRECTOR'S OFFICE REGULATION REGARDING SERVICE AND APPEAL FOR CERTAIN NOTICES OF VIOLATION,N,Y,https://regulations.phila-records.com/pdfs/Managing Director Regulation 3-22-23.pdf
3/10/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 6.14.64 CITY EMPLOYEES ASSIGNED TO PERFORM LANGUAGE ACCESS PROJECTS BY THE OFFICE OF LANGUAGE ACCESS,N,Y,"https://regulations.phila-records.com/pdfs/6.14.64-22-12.pdf, https://regulations.phila-records.com/pdfs/Law Memo_ SIGNED.pdf"
3/10/2023,DEPARTMENT OF PUBLIC HEALTH,AMENDMENT TO THE FOURTH CONSOLIDATED AND RESTATED SUPPLEMENTAL REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (REVISED SAFETY MEASURES AND DELEGATION OF AUTHORITY),Y,Y,"https://regulations.phila-records.com/pdfs/Amendment to Fourth Consolidated COVID_Reg Masking Relax_Final.pdf, https://regulations.phila-records.com/pdfs/Cover memo_Amend Fourth Consolidated COVID Reg.pdf, https://regulations.phila-records.com/pdfs/FINAL_BOH Public Hearing Report on Masking Regulation Amendment_With Exhibits_Signed (2).pdf, https://regulations.phila-records.com/pdfs/Memo to Records-Amendment to Fourth Consolidated COVID Masking Regulation.pdf"
3/10/2023,DEPARTMENT OF PUBLIC HEALTH,"THIRD AMENDMENT TO THE EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 MANDATING VACCINES FOR HEALTHCARE WORKERS AND IN HIGHER EDUCATION, HEALTHCARE, AND RELATED SETTINGS",N,Y,"https://regulations.phila-records.com/pdfs/cover memo Third Amend COVID Vaccins Reg.pdf, https://regulations.phila-records.com/pdfs/Memo to Records_Third Amend COVID Vaccine Regulation.pdf, https://regulations.phila-records.com/pdfs/Third Amend COVID Vaccines Reg_Final.pdf"
3/9/2023,"DEPARTMENT OF LICENSES AND INSPECTIONS, DEPARTMENT OF STREETS",AMENDMENTS TO THE JOINT REGULATION REGARDING THE LICENSURE AND OPERATION OF STREETERIES ON AUTHORIZED PORTIONS OF THE RIGHT-OF-WAY,N,Y,https://regulations.phila-records.com/pdfs/Section 9-215 Safety Amendments March 2023.pdf
3/2/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 30.12 RESIDENCY REQUIREMENT FOR MEMBERS OF LOCALS 159B AND 1637 BARGAINING UNIT ENTITLED TO INTEREST ARBITRATION (PAYROLL CODE “I”),N,Y,"https://regulations.phila-records.com/pdfs/23-01 Law Memo Signed.pdf, https://regulations.phila-records.com/pdfs/30.12-23-01.pdf"
2/23/2023,PHILADELPHIA WATER DEPARTMENT, FORMAL NOTICE OF PROPOSED CHANGES IN RATES AND CHARGES; ANNUAL ADJUSTMENT OF TIERED ASSISTANCE PROGRAM RATE RIDER SURCHARGE RATES (TAP-R); FINAL PROPOSED TAP-R RECONCILIATION STATEMENT,N,Y,https://regulations.phila-records.com/pdfs/TAP-R Reconciliation Proceeding Formal Notice FINAL.pdf
2/23/2023,PHILADELPHIA WATER DEPARTMENT," FORMAL NOTICE OF PROPOSED CHANGES IN WATER, SEWER AND STORMWATER RATES AND RELATED CHARGES (FY 2024 AND FY 2025)",N,Y,"https://regulations.phila-records.com/pdfs/PWD - 2023 RATES - FORMAL NOTICE OF PWD PROPOSED CHANGES IN WATER, WASTEWATER, AND STORMWATER RATES AND CHARGES.pdf"
2/21/2023,DEPARTMENT OF STREETS,AMENDMENTS TO THE PARKING REGULATIONS FOR THE CENTER CITY AREA - FEBRUARY 2023,N,Y,"https://regulations.phila-records.com/pdfs/Changes for February 2023.pdf, https://regulations.phila-records.com/pdfs/cover memo Feb 2023 Parking .pdf"
2/17/2023,DEPARTMENT OF LICENSES AND INSPECTIONS,REGULATIONS CONCERNING THE LICENSING OF THE DISPENSING OF LIQUID FUELS INTO THE FUEL TANKS OF VEHICLES AT CERTAIN ESTABLISHMENTS AND ENGAGING IN ONDEMAND MOBILE FUELING OPERATIONS UNDER SECTION 4-F-105.6 OF THE PHILADEPHIA CODE,N,Y,"https://regulations.phila-records.com/pdfs/cover memo Mobile Fuel License.pdf, https://regulations.phila-records.com/pdfs/Mobile Fueling License- Regulations.pdf, https://regulations.phila-records.com/pdfs/Records Transmittal-Mobile Fueling License.pdf"
2/9/2023,PHILADELPHIA CITY PLANNING COMMISSION,AMENDMENTS TO SECTION 12 OF THE REGULATIONS OF THE CITY PLANNING COMMISSION (“REGISTERED COMMUNITY ORGANIZATIONS (RCOS)”),Y,N,"https://regulations.phila-records.com/pdfs/12-13-2022_Blackline of section Amendment.pdf, https://regulations.phila-records.com/pdfs/Exhibit 1 - Written comments received during RCO Boundary Regulation Hearing.pdf, https://regulations.phila-records.com/pdfs/Exhibit 2 - Transcript of PCPC RCO Boundary Regulation Hearing.pdf, https://regulations.phila-records.com/pdfs/PHILADELPHIA CITY PLANNING COMMISSION__Approval memo.pdf, https://regulations.phila-records.com/pdfs/RCO Boundary Regulation hearing materials and Report.pdf"
1/23/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 15.044 RESTORATION FOLLOWING A LEAVE OF ABSENCE FOR AN EXEMPT POSITIO,N,Y,"https://regulations.phila-records.com/pdfs/15.044-22-12.pdf, https://regulations.phila-records.com/pdfs/22-12_Law Memo SIGNED.pdf"
1/23/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.086 APPOINTMENT RATE FOR EMPLOYEES HIRED FROM OPEN COMPETITIVE ELIGIBLE LISTS FOR THE FOLLOWING CLASSES AND DEPARTMENTS,N,Y,"https://regulations.phila-records.com/pdfs/6.086-22-12.pdf, https://regulations.phila-records.com/pdfs/22-12 Law Memo SIGNED.pdf"
1/19/2023,DEPARTMENT OF LABOR,THIRD SUPPLEMENTAL REGULATION REGARDING COVID-19 AND CHAPTER 9-4100 OF THE PHILADELPHIA CODE: PROMOTING HEALTHY FAMILIES AND WORKPLACES,N,Y,"https://regulations.phila-records.com/pdfs/2023.1.13 COVID-19 Leave Labor Reg Approval.pdf, https://regulations.phila-records.com/pdfs/Final Third Supplemental Covid-19 Leave Regs.pdf"
1/18/2023,DEPARTMENT OF PUBLIC HEALTH,"REGULATION RELATING TO SEVERE MATERNAL MORBIDITY SURVEILLANCE BY THE DIVISION OF MATERNAL, CHILD, AND FAMILY HEALTH OF THE DEPARTENT OF PUBLIC HEALTH",N,Y,"https://regulations.phila-records.com/pdfs/2023.1.13 Regulation Relating to Surveillance of Severe Maternal Morbidity_Law Approval.pdf, https://regulations.phila-records.com/pdfs/Appendix A_Severe Maternal Morbidity Data Dictionary.pdf, https://regulations.phila-records.com/pdfs/Memo to Records_Regulation Relating to Surveillance of Severe Maternal Morbidity signed 1 17 23.pdf, https://regulations.phila-records.com/pdfs/Regulation Relating to Surveillance of Severe Maternal Morbidity_FINAL.pdf"
1/18/2023,DEPARTMENT OF PUBLIC HEALTH,AMENDMENT TO THE REGULATIONS GOVERNING THE CONTROL OF COMMUNICABLE AND NONCOMMUNICABLE DISEASES AND CONDITIONS REGARDING SEVERE MATERNAL MORBIDITY,N,Y,"https://regulations.phila-records.com/pdfs/2023.1.13 Amendment to Disease Control and Prevention Reporting Regulations - Severe Maternal Morbidity_Law Approval.pdf, https://regulations.phila-records.com/pdfs/Amendment to Regulations Governing the Control of Communicable and Non-Communicable Dieases and Conditions SMM Final.pdf, https://regulations.phila-records.com/pdfs/Memo to Records_Amendment to Reporting Regulations re Severe Maternal Morbidity signed 1 17 23.pdf"
12/22/2022,DEPARTMENT OF STREETS,AMENDMENTS TO THE PARKING REGULATIONS FOR THE CENTER CITY AREA - DECEMBER 2022,N,Y,"https://regulations.phila-records.com/pdfs/cover memo Dec 21 2022 Parking.pdf, https://regulations.phila-records.com/pdfs/December Regulation Changes.pdf"
12/5/2022,DEPARTMENT OF STREETS,AMENDMENTS TO THE PARKING REGULATIONS FOR THE CENTER CITY AREA - NOVEMBER 2022,N,Y,"https://regulations.phila-records.com/pdfs/Changes for November 2022.pdf, https://regulations.phila-records.com/pdfs/cover memo Parking.pdf"
11/28/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 31.62 EFFECT ON PAY RATES FOR EMPLOYEES OF FINANCE DEPARTMENT RISK MANAGEMENT DIVISION IN THE CLAIMS ADJUSTER SERIES OF CLASSES UPON APPOINTMENT TO THE CIVIL SERVICE,N,Y,"https://regulations.phila-records.com/pdfs/22-11_Law Memo Signed.pdf, https://regulations.phila-records.com/pdfs/31.62-22-11.pdf"
11/28/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.14.62 AIRPORT OPERATIONS OFFICERS WHO HAVE BEEN ASSIGNED TO THE 10/20 ASSIGNMENT,N,Y,"https://regulations.phila-records.com/pdfs/6.14.62-22-11.pdf, https://regulations.phila-records.com/pdfs/22-11 Law Memo_Signed.pdf"
11/28/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 9.023 PERFORMANCE REPORTS,N,Y,"https://regulations.phila-records.com/pdfs/9.023-22-11.pdf, https://regulations.phila-records.com/pdfs/22-11 Law Memo Signed.pdf"
11/18/2022,PHILADELPHIA CITY PLANNING COMMISSION,REGULATION AMENDING CHAPTER 13 REMOVING SECTION 13.2 IN ITS ENTIRETY,N,Y,"https://regulations.phila-records.com/pdfs/Deletion of Section 13.2 from PCPC Regulations.pdf, https://regulations.phila-records.com/pdfs/Deletion of energy and environmental design regs Approval memo.pdf"
11/9/2022,"PHILADELPHIA WATER, SEWER AND STORM WATER RATE BOARD","RESOLUTION AMENDING THE REGULATIONS OF THE PHILADELPHIA WATER, SEWER AND STORM WATER RATE BOARD",N,Y,"https://regulations.phila-records.com/pdfs/Resolution Amending Rate Board Regulations_ 20221109.pdf, https://regulations.phila-records.com/pdfs/DWCH to Popowsky- 20221109 approving amended regulations of Water, Sewer and Storm Water Rate Board.pdf, https://regulations.phila-records.com/pdfs/Popowsky to Blay 20221109 attaching amended Regulations_ I_l.1 and II.B.7of Phila Water Sewer and Storm Water Rate Board.pdf, https://regulations.phila-records.com/pdfs/Regulations of Water Rate Board, restated with amendments_ adopted 20221109.pdf"
10/25/2022,DEPARTMENT OF STREETS,AMENDMENTS TO THE PARKING REGULATIONS FOR THE CENTER CITY AREA -OCTOBER 2022,N,Y,"https://regulations.phila-records.com/pdfs/October Changes 2022.pdf, https://regulations.phila-records.com/pdfs/cover memo Oct 2022 Parking .pdf"
10/19/2022,DEPARTMENT OF PUBLIC HEALTH,"AMENDMENT TO REGULATIONS GOVERNING THE CONTROL OF COMMUNICABLE AND NON-COMMUNICABLE DISEASES AND CONDITIONS, RELATING TO ACUTE FLACCID MYELITIS",N,Y,"https://regulations.phila-records.com/pdfs/2022.10.18 Memo Acute Flaccid Myelitis.pdf, https://regulations.phila-records.com/pdfs/Amendment Regarding Acute Flaccid Myelitis.pdf, https://regulations.phila-records.com/pdfs/Memo to Records_Amend to Reg Governing Non-Communicable Disease re Acute Flaccid Myelitis signed 10 19 22.pdf"
10/19/2022,DEPARTMENT OF PUBLIC HEALTH,FOURTH CONSOLIDATED AND RESTATED SUPPLEMENTAL REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (REVISED SAFETY MEASURES AND DELEGATION OF AUTHORITY),N,Y,"https://regulations.phila-records.com/pdfs/2022.10.18 Memo Fourth Restated and Consolidated Regulation.pdf, https://regulations.phila-records.com/pdfs/Fourth Consolidated Regulation Governing COVID-19.pdf, https://regulations.phila-records.com/pdfs/Memo to Records_Fourth Consolidated Reg Governing COVID-19 signed 10 19 22.pdf"
10/19/2022,DEPARTMENT OF PUBLIC HEALTH,"SECOND AMENDMENT TO THE EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 MANDATING VACCINES FOR HEALTHCARE WORKERS AND IN HIGHER EDUCATION, HEALTHCARE, AND RELATED SETTINGS",N,Y,"https://regulations.phila-records.com/pdfs/2022.10.18 Memo Second Amendment - Healthcare and Higher Ed.pdf, https://regulations.phila-records.com/pdfs/Memo to Records_2nd Amendment to Reg Governing COVID-19 re Healthcare and Higher Ed signed 10 19 22.pdf, https://regulations.phila-records.com/pdfs/Second Amendment to Reg Governing COVID-19 Vaccines for Healthcare and Higher Ed.pdf"
10/13/2022,DEPARTMENT OF STREETS,REGULATION ADDRESSING FEES FOR TIME LIMITED PARKING IN AUTHORIZED AREAS,N,Y,https://regulations.phila-records.com/pdfs/20220901 Warren St Parking Permit Regs.pdf
10/11/2022,DEPARTMENT OF LICENSES AND INSPECTIONS,AMENDMENTS TO “HOME OR RESIDENTIAL INSPECTION BUSINESS LICENSE REGULATIONS” UNDER SECTION 9-1302 OF THE PHILADELPHIA CODE,N,Y,"https://regulations.phila-records.com/pdfs/Home Inspection License_2022 Regulation Amendment.pdf, https://regulations.phila-records.com/pdfs/Law Approval Home Inspection License.pdf, https://regulations.phila-records.com/pdfs/Records Transmittal_Home Inspection License.pdf"
10/5/2022,DEPARTMENT OF LICENSES AND INSPECTIONS,"REGULATIONS UNDER SECTIONS 14-301(3), 14-705(1), 14-801(2), AND 14-529 OF THE PHILADELPHIA CODE RELATING TO ON-SITE LANDSCAPE AND TREE REQUIREMENTS",N,Y,"https://regulations.phila-records.com/pdfs/Landscaping Regs 2022.10.04.pdf, https://regulations.phila-records.com/pdfs/Records Cover Memo - Landscaping Regulation - 2022_10_04.pdf"
10/3/2022,DEPARTMENT OF REVENUE,AMENDMENT TO BUSINESS INCOME AND RECEIPTS TAX REGULATIONS - SECTION 205 - CHANGES MADE BY THE FEDERAL GOVERNMENT,N,Y,https://regulations.phila-records.com/pdfs/Revenue Regulation 10-3-22.pdf
9/29/2022,"DEPARTMENT OF COMMERCE, DIVISION OF AVIATION",AMENDMENT TO RULES & REGULATIONS FOR PHILADELPHIA INTERNATIONAL AIRPORT RELATED TO THE CUSTOMER FACILITY CHARGE,N,Y,https://regulations.phila-records.com/pdfs/COP Department of Commerce Division of Aviation Amendment to Rules and Regulations for Philadelphia International Airport Related to the Customer Facility Charge.pdf
9/20/2022,"DEPARTMENT OF LICENSES AND INSPECTIONS, DEPARTMENT OF PUBLIC HEALTH",REGULATIONS UNDER SECTIONS 4-A-1101 OF THE PHILADELPHIA CODE RELATING TO THE ABATEMENT OF RATS AND OTHER VERMIN,N,Y,"https://regulations.phila-records.com/pdfs/Rat Abatement Regulations - 2022_09_16.pdf, https://regulations.phila-records.com/pdfs/Records Cover Memo - Rat Abatement Regulation - 2022_09_16.pdf, https://regulations.phila-records.com/pdfs/Records Transmittal_Rat Abatement.pdf"
9/15/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 6.14.63 FIREFIGHTERS DETAILED TO MEDIC UNITS,Y,Y,https://regulations.phila-records.com/pdfs/6.14.63.pdf
9/9/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 6.14-19 SALARY DIFFERENTIAL FOR EMPLOYEES DESIGNATED TO SERVE AS MENTORS IN AN APPROVED APPRENTICESHIP PROGRAM,N,Y,"https://regulations.phila-records.com/pdfs/6.14-19.pdf, https://regulations.phila-records.com/pdfs/22-8 Law Memo _SIGNED.pdf"
9/9/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 5.158 CLASSES ELIGIBLE FOR IN-POSITION PROMOTION ,N,Y,"https://regulations.phila-records.com/pdfs/5.158.pdf, https://regulations.phila-records.com/pdfs/22-8 Law Memo SIGNED.pdf"
9/9/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 11.17 APPOINTMENT AGE REQUIREMENTS,N,Y,"https://regulations.phila-records.com/pdfs/11.17.pdf, https://regulations.phila-records.com/pdfs/22-7_ Law Memo.pdf"
9/9/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 6.115.10 K-9 FIREFIGHTERS,N,Y,"https://regulations.phila-records.com/pdfs/6.115.10.pdf, https://regulations.phila-records.com/pdfs/22-7 Law Memo.pdf"
9/7/2022,OFFICE OF SUSTAINABILITY,REGULATION ON ENERGY EFFICIENCY AND ENVIRONMENTAL DESIGN IN CONSTRUCTION OF BUILDINGS,N,Y,"https://regulations.phila-records.com/pdfs/17-111. Energy Efficiency and Enviro Design_Regulation 09-07-2022.pdf, https://regulations.phila-records.com/pdfs/Energy Efficiency and Enviro Design Regulation Approval Memo 2022-09-07.pdf"
8/19/2022,DEPARTMENT OF PUBLIC HEALTH,"  AMENDMENT TO REGULATIONS GOVERNING THE CONTROL OF COMMUNICABLE AND NON-COMMUNICABLE DISEASES AND CONDITIONS, RELATING TO MONKEYPOX",N,Y,"https://regulations.phila-records.com/pdfs/2022.8.18 Monkey Pox Amendment Approval Memo.pdf, https://regulations.phila-records.com/pdfs/Memo to Records_Amendment to Regulations Governing Communicable Diseases Related to Monkeypox.pdf, https://regulations.phila-records.com/pdfs/Monkeypox reporting amendment_FINAL.pdf"
8/16/2022,DEPARTMENT OF LICENSES AND INSPECTIONS,REGULATIONS CONCERNING AMENDMENT TO PERMIT APPLICATIONS,"SEPTEMBER 29TH, 2022 10:00 AM EASTERN TIME",N,"https://regulations.phila-records.com/pdfs/Cover memo_LI Permit Amends.pdf, https://regulations.phila-records.com/pdfs/LI Permit Amendments_Hearing Report.pdf, https://regulations.phila-records.com/pdfs/LI_Permit Amendments reg.pdf, https://regulations.phila-records.com/pdfs/Records Transmittal_Permit Amendments.pdf"
8/10/2022,DEPARTMENT OF LICENSES AND INSPECTIONS,AMENDMENTS TO REGULATIONS UNDER SECTION 9-1306 OF THE PHILADELPHIA CODE RELATING TO SPECIAL INSPECTION QUALIFICATIONS,N,Y,"https://regulations.phila-records.com/pdfs/Records Cover Memo - Special Inspections Regulation - 2022_08_03.pdf, https://regulations.phila-records.com/pdfs/Records Transmittal Special Inspector License.pdf, https://regulations.phila-records.com/pdfs/Special Inspections Regulation - 2022_08_03.pdf"
